dcterms_identifier|dwc_establishmentMeans|dcterms_modified|dwc_organismRemarks|dwc_collectionCode|dwc_catalogNumber|dwc_georeferenceRemarks|dwc_decimalLatitude|dwc_decimalLongitude|geo_alt|dwc_organismName|dwc_organismScope|cameo|notes|suppress
http://bioimages.vanderbilt.edu/ind-baskauf/11118|managed|2015-07-31T15:56:37-05:00|Individual represents a row of trees in the park.|||Location determined from Google maps.|36.13609|-86.8064|||colony|http://bioimages.vanderbilt.edu/baskauf/11118||
http://bioimages.vanderbilt.edu/ind-baskauf/11156|managed|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.14356|-86.79921|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11156||
http://bioimages.vanderbilt.edu/ind-baskauf/11161|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.38379|-87.00692|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11163||
http://bioimages.vanderbilt.edu/ind-baskauf/11189|naturalised|2015-07-31T15:56:37-05:00|Individual represents a small invasive population, mostly extirpated by 2010|||Location determined from Google maps.|36.38387|-87.00693|||colony|http://bioimages.vanderbilt.edu/baskauf/19595||
http://bioimages.vanderbilt.edu/ind-baskauf/11320|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.38359|-87.00714|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11320||
http://bioimages.vanderbilt.edu/ind-baskauf/11322|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.38361|-87.00703|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11322||
http://bioimages.vanderbilt.edu/ind-baskauf/11335|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.38358|-87.00678|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11335||
http://bioimages.vanderbilt.edu/ind-baskauf/11345|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.38341|-87.00703|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11345||
http://bioimages.vanderbilt.edu/ind-baskauf/11357|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|35.65485|-83.58312|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11357||
http://bioimages.vanderbilt.edu/ind-baskauf/11366|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|35.65485|-83.58312|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11366||
