ubioID|dcterms_identifier|dwc_kingdom|dwc_class|dwc_order|dwc_family|dwc_genus|dwc_specificEpithet|dwc_infraspecificEpithet|dwc_taxonRank|dwc_scientificNameAuthorship|dwc_vernacularName|dcterms_modified
458076|30973|Plantae|Magnoliopsida|Solanales|Polemoniaceae|Phlox|paniculata||species|L.|fall phlox|2015-09-21T18:09:43-05:00
458077|30974|Plantae|Magnoliopsida|Solanales|Polemoniaceae|Phlox|pilosa||species|L.|downy phlox|2015-09-21T18:09:43-05:00
455549|27866|Plantae|Magnoliopsida|Santalales|Viscaceae|Phoradendron|juniperinum||species|Engelm. ex A. Gray|juniper mistletoe|2015-09-21T18:09:43-05:00
475170|504341|Plantae|Magnoliopsida|Santalales|Viscaceae|Phoradendron|leucarpum||species|(Raf.) Reveal & M.C. Johnst.|oak mistletoe|2015-09-21T18:09:43-05:00
465973|41072|Plantae|Liliopsida|Cyperales|Poaceae|Phragmites|australis||species|(Cav.) Trin. ex Steud.|common reed|2015-09-21T18:09:43-05:00
475177|504348|Plantae|Magnoliopsida|Lamiales|Verbenaceae|Phryma|leptostachya||species|L.|American lopseed|2015-09-21T18:09:43-05:00
459124|32196|Plantae|Magnoliopsida|Lamiales|Verbenaceae|Phyla|lanceolata||species|(Michx.) Greene|lanceleaf fogfruit|2015-09-21T18:09:43-05:00
448531|19523|Plantae|Magnoliopsida|Caryophyllales|Phytolaccaceae|Phytolacca|americana||species|L.|American pokeweed|2015-09-21T18:09:43-05:00
468862|183291|Plantae|Pinopsida|Pinales|Pinaceae|Picea|engelmannii||species|Parry ex Engelm.|Engelmann spruce|2015-09-21T18:09:43-05:00
468863|183295|Plantae|Pinopsida|Pinales|Pinaceae|Picea|glauca||species|(Moench) Voss|white spruce|2015-09-21T18:09:43-05:00
468864|183302|Plantae|Pinopsida|Pinales|Pinaceae|Picea|mariana||species|(Mill.) Britton, Sterns & Poggenb.|black spruce|2015-09-21T18:09:43-05:00
468867|183307|Plantae|Pinopsida|Pinales|Pinaceae|Picea|pungens||species|Engelm.|blue spruce|2015-09-21T18:09:43-05:00
447271|18034|Plantae|Pinopsida|Pinales|Pinaceae|Picea|rubens||species|Sarg.|red spruce|2015-09-21T18:09:43-05:00
468868|183309|Plantae|Pinopsida|Pinales|Pinaceae|Picea|sitchensis||species|(Bong.) Carrière|Sitka spruce|2015-09-21T18:09:43-05:00
448202|19130|Plantae|Magnoliopsida|Urticales|Urticaceae|Pilea|pumila||species|(L.) A. Gray|Canadian clearweed|2015-09-21T18:09:43-05:00
447272|18035|Plantae|Pinopsida|Pinales|Pinaceae|Pinus|||genus||pine|2015-09-21T18:09:43-05:00
468869|183311|Plantae|Pinopsida|Pinales|Pinaceae|Pinus|albicaulis||species|Engelm.|whitebark pine|2015-09-21T18:09:43-05:00
468870|183313|Plantae|Pinopsida|Pinales|Pinaceae|Pinus|aristata||species|Engelm.|bristlecone pine|2015-09-21T18:09:43-05:00
468876|183321|Plantae|Pinopsida|Pinales|Pinaceae|Pinus|cembroides||species|Zucc.|Mexican pinyon|2015-09-21T18:09:43-05:00
468877|183324|Plantae|Pinopsida|Pinales|Pinaceae|Pinus|clausa||species|(Chapm. ex Engelm.) Vasey ex Sarg.|sand pine|2015-09-21T18:09:43-05:00
468878|183327|Plantae|Pinopsida|Pinales|Pinaceae|Pinus|contorta||species|Douglas ex Loudon|lodgepole pine|2015-09-21T18:09:43-05:00
468880|183333|Plantae|Pinopsida|Pinales|Pinaceae|Pinus|coulteri||species|D. Don|Coulter pine|2015-09-21T18:09:43-05:00
468881|183334|Plantae|Pinopsida|Pinales|Pinaceae|Pinus|discolor||species|D.K. Bailey & Hawksw.|border pinyon|2015-09-21T18:09:43-05:00
468882|183335|Plantae|Pinopsida|Pinales|Pinaceae|Pinus|echinata||species|Mill.|shortleaf pine|2015-09-21T18:09:43-05:00
468883|183336|Plantae|Pinopsida|Pinales|Pinaceae|Pinus|edulis||species|Engelm.|twoneedle pinyon|2015-09-21T18:09:43-05:00
447273|18036|Plantae|Pinopsida|Pinales|Pinaceae|Pinus|elliottii||species|Engelm.|slash pine|2015-09-21T18:09:43-05:00
468885|183339|Plantae|Pinopsida|Pinales|Pinaceae|Pinus|engelmannii||species|Carrière|Apache pine|2015-09-21T18:09:43-05:00
468887|183343|Plantae|Pinopsida|Pinales|Pinaceae|Pinus|flexilis||species|James|limber pine|2015-09-21T18:09:43-05:00
468892|183350|Plantae|Pinopsida|Pinales|Pinaceae|Pinus|leiophylla|chihuahuana|variety|Schiede & Deppe|Chihuahuan pine|2015-09-21T18:09:43-05:00
468895|183356|Plantae|Pinopsida|Pinales|Pinaceae|Pinus|monticola||species|Douglas ex D. Don|western white pine|2015-09-21T18:09:43-05:00
447275|18038|Plantae|Pinopsida|Pinales|Pinaceae|Pinus|palustris||species|Mill.|longleaf pine|2015-09-21T18:09:43-05:00
468902|183365|Plantae|Pinopsida|Pinales|Pinaceae|Pinus|ponderosa||species|Lawson & C. Lawson|ponderosa pine|2015-09-21T18:09:43-05:00
468904|183369|Plantae|Pinopsida|Pinales|Pinaceae|Pinus|pungens||species|Lamb.|Table Mountain pine|2015-09-21T18:09:43-05:00
468908|183375|Plantae|Pinopsida|Pinales|Pinaceae|Pinus|resinosa||species|Aiton|red pine|2015-09-21T18:09:43-05:00
468909|183376|Plantae|Pinopsida|Pinales|Pinaceae|Pinus|rigida||species|Mill.|pitch pine|2015-09-21T18:09:43-05:00
468910|183377|Plantae|Pinopsida|Pinales|Pinaceae|Pinus|sabiniana||species|Douglas ex Douglas|California foothill pine|2015-09-21T18:09:43-05:00
468912|183380|Plantae|Pinopsida|Pinales|Pinaceae|Pinus|strobiformis||species|Engelm.|southwestern white pine|2015-09-21T18:09:43-05:00
468913|183385|Plantae|Pinopsida|Pinales|Pinaceae|Pinus|strobus||species|L.|eastern white pine|2015-09-21T18:09:43-05:00
447274|18037|Plantae|Pinopsida|Pinales|Pinaceae|Pinus|taeda||species|L.|loblolly pine|2015-09-21T18:09:43-05:00
468917|183394|Plantae|Pinopsida|Pinales|Pinaceae|Pinus|virginiana||species|Mill.|Virginia pine|2015-09-21T18:09:43-05:00
471008|196349|Plantae|Magnoliopsida|Asterales|Asteraceae|Pityopsis|graminifolia||species|(Michx.) Nutt.|narrowleaf silkgrass|2015-09-21T18:09:43-05:00
459665|32875|Plantae|Magnoliopsida|Plantaginales|Plantaginaceae|Plantago|aristata||species|Michx.|largebracted plantain|2015-09-21T18:09:43-05:00
459664|32874|Plantae|Magnoliopsida|Plantaginales|Plantaginaceae|Plantago|lanceolata||species|L.|narrowleaf plantain|2015-09-21T18:09:43-05:00
475265|504439|Plantae|Magnoliopsida|Plantaginales|Plantaginaceae|Plantago|rugelii||species|Decne.|blackseed plantain|2015-09-21T18:09:43-05:00
459680|32895|Plantae|Magnoliopsida|Plantaginales|Plantaginaceae|Plantago|virginica||species|L.|Virginia plantain|2015-09-21T18:09:43-05:00
467864|43413|Plantae|Liliopsida|Orchidales|Orchidaceae|Platanthera|ciliaris||species|(L.) Lindl.|yellow fringed orchid|2015-09-21T18:09:43-05:00
467875|43424|Plantae|Liliopsida|Orchidales|Orchidaceae|Platanthera|cristata||species|(Michx.) Lindl.|crested yellow orchid|2015-09-21T18:09:43-05:00
467880|43429|Plantae|Liliopsida|Orchidales|Orchidaceae|Platanthera|integrilabia||species|(Correll) Luer|white fringeless orchid|2015-09-21T18:09:43-05:00
467885|43434|Plantae|Liliopsida|Orchidales|Orchidaceae|Platanthera|nivea||species|(Nutt.) Luer|snowy orchid|2015-09-21T18:09:43-05:00
467887|43436|Plantae|Liliopsida|Orchidales|Orchidaceae|Platanthera|peramoena||species|(A. Gray) A. Gray|purple fringeless orchid|2015-09-21T18:09:43-05:00
448105|19020|Plantae|Magnoliopsida|Hamamelidales|Platanaceae|Platanus|occidentalis||species|L.|American sycamore|2015-09-21T18:09:43-05:00
448108|19023|Plantae|Magnoliopsida|Hamamelidales|Platanaceae|Platanus|wrightii||species|S. Watson|Arizona sycamore|2015-09-21T18:09:43-05:00
475277|504451|Plantae|Filicopsida|Polypodiales|Polypodiaceae|Pleopeltis|polypodioides||species|(L.) Andrews & Windham|resurrection fern|2015-09-21T18:09:43-05:00
444064|16715|Plantae|Bryopsida|Pottiales|Pottiaceae|Pleurochaete|squarrosa||species|(Brid.) Lindb.|square pleurochaete moss|2015-09-21T18:09:43-05:00
462079|36061|Plantae|Magnoliopsida|Asterales|Asteraceae|Pluchea|camphorata||species|(L.) DC.|camphor pluchea|2015-09-21T18:09:43-05:00
465995|41107|Plantae|Liliopsida|Cyperales|Poaceae|Poa|annua||species|L.|annual bluegrass|2015-09-21T18:09:43-05:00
465984|41088|Plantae|Liliopsida|Cyperales|Poaceae|Poa|pratensis||species|L.|Kentucky bluegrass|2015-09-21T18:09:43-05:00
447954|18850|Plantae|Magnoliopsida|Ranunculales|Berberidaceae|Podophyllum|peltatum||species|L.|mayapple|2015-09-21T18:09:43-05:00
451177|22652|Plantae|Magnoliopsida|Capparales|Capparaceae|Polanisia|dodecandra||species|(L.) DC.|redwhisker clammyweed|2015-09-21T18:09:43-05:00
451180|22655|Plantae|Magnoliopsida|Capparales|Capparaceae|Polanisia|dodecandra|trachysperma|subspecies|(L.) DC.|sandyseed clammyweed|2015-09-21T18:09:43-05:00
458103|31003|Plantae|Magnoliopsida|Solanales|Polemoniaceae|Polemonium|reptans||species|L.|Greek valerian|2015-09-21T18:09:43-05:00
456658|29314|Plantae|Magnoliopsida|Polygalales|Polygalaceae|Polygala|sanguinea||species|L.|purple milkwort|2015-09-21T18:09:43-05:00
467535|43006|Plantae|Liliopsida|Liliales|Liliaceae|Polygonatum|biflorum||species|(Walter) Elliott|smooth Solomon's seal|2015-09-21T18:09:43-05:00
